ID,mandal_ID,field_ID,requirement,sequence,custom_label,createdAt,createdBy,modifiedAt,modifiedBy
13165522-0596-4e69-a044-9be230de8277,27036764-62df-458f-b580-6e512cf5b9c7,11807935-01ea-4f19-8aea-b5b97a2db3ee,required,1,Email Address,2022-08-15T18:30:00.000Z,system,2024-09-23T18:30:00.000Z,system
13165523-6233-41f2-bfb1-74bcc0fb4f40,36770777-0a4d-45b0-89d4-6191567a75c5,11807936-67d3-4f27-b2aa-1bbdbd16d464,required,2,Full Name,2022-09-16T18:30:00.000Z,system,2023-07-18T18:30:00.000Z,system
13165524-3cbd-4781-82b1-5001060f1b62,3677078a-98cb-4d73-b193-55fc664d5131,11807935-01ea-4f19-8aea-b5b97a2db3ee,required,3,Phone Number,2022-04-28T18:30:00.000Z,system,2023-07-05T18:30:00.000Z,system
13165525-9b4c-4581-9038-e34485ebf8b8,27036764-62df-458f-b580-6e512cf5b9c7,11807936-67d3-4f27-b2aa-1bbdbd16d464,required,4,Date of Birth,2023-11-19T18:30:00.000Z,system,2024-08-03T18:30:00.000Z,system
13165526-7259-4522-a46f-3c4a21693b02,36770777-0a4d-45b0-89d4-6191567a75c5,11807935-01ea-4f19-8aea-b5b97a2db3ee,required,5,Gender,2022-02-25T18:30:00.000Z,system,2024-07-16T18:30:00.000Z,system
13165527-1d0a-46a4-9195-2bc17019b602,3677078a-98cb-4d73-b193-55fc664d5131,11807936-67d3-4f27-b2aa-1bbdbd16d464,required,6,Address,2023-04-18T18:30:00.000Z,system,2024-10-22T18:30:00.000Z,system
13165528-4814-4b8a-9495-0a3ca821565b,27036764-62df-458f-b580-6e512cf5b9c7,11807935-01ea-4f19-8aea-b5b97a2db3ee,required,7,City,2023-07-17T18:30:00.000Z,system,2023-03-16T18:30:00.000Z,system
13165529-6b5f-4936-8ed7-2804290521a4,36770777-0a4d-45b0-89d4-6191567a75c5,11807936-67d3-4f27-b2aa-1bbdbd16d464,required,8,State,2022-10-25T18:30:00.000Z,system,2024-11-18T18:30:00.000Z,system
13165530-51cc-4290-aea5-9c6a9b6640c5,3677078a-98cb-4d73-b193-55fc664d5131,11807935-01ea-4f19-8aea-b5b97a2db3ee,required,9,Pincode,2022-03-10T18:30:00.000Z,system,2023-09-14T18:30:00.000Z,system
13165531-a5b5-42ce-a4af-95ee45317d1a,27036764-62df-458f-b580-6e512cf5b9c7,11807936-67d3-4f27-b2aa-1bbdbd16d464,optional,10,Blood Group,2022-04-11T18:30:00.000Z,system,2023-07-22T18:30:00.000Z,system
13165532-e98b-46e5-a2a3-2f395cd92eae,36770777-0a4d-45b0-89d4-6191567a75c5,11807935-01ea-4f19-8aea-b5b97a2db3ee,optional,11,Education,2023-08-18T18:30:00.000Z,system,2024-05-13T18:30:00.000Z,system
13165533-07c4-4b64-8aa8-831963f22bac,3677078a-98cb-4d73-b193-55fc664d5131,11807936-67d3-4f27-b2aa-1bbdbd16d464,optional,12,Profession,2022-12-05T18:30:00.000Z,system,2024-01-01T18:30:00.000Z,system
13165534-d6ca-4a8a-ba5a-223b409b076c,27036764-62df-458f-b580-6e512cf5b9c7,11807935-01ea-4f19-8aea-b5b97a2db3ee,optional,13,Gotra,2022-05-12T18:30:00.000Z,system,2024-11-18T18:30:00.000Z,system
13165535-b6d1-4a2a-a3d0-059f23903246,36770777-0a4d-45b0-89d4-6191567a75c5,11807936-67d3-4f27-b2aa-1bbdbd16d464,hidden,14,Nakshatra,2023-11-03T18:30:00.000Z,system,2023-08-29T18:30:00.000Z,system
13165536-18f1-4ad7-bf4d-d8e9dc72822d,3677078a-98cb-4d73-b193-55fc664d5131,11807935-01ea-4f19-8aea-b5b97a2db3ee,hidden,15,Rashi,2022-04-13T18:30:00.000Z,system,2023-10-19T18:30:00.000Z,system
13165537-13c4-4639-a726-69024a9ec0b8,27036764-62df-458f-b580-6e512cf5b9c7,11807936-67d3-4f27-b2aa-1bbdbd16d464,optional,16,Kuldevi,2023-09-27T18:30:00.000Z,system,2023-03-13T18:30:00.000Z,system
